t;A;B;C;D;E
0;45.20;0.55;0.64;0.50;-2.99
900;45.19;0.55;0.65;0.50;-3.12
1800;45.19;0.55;0.64;0.51;-3.26
2700;45.18;0.55;0.64;0.52;-3.39
3600;45.17;0.55;0.64;0.52;-3.53
4500;45.13;0.55;0.64;0.52;-3.43
5400;45.09;0.55;0.64;0.52;-3.33
6300;45.05;0.55;0.64;0.53;-3.23
7200;45.01;0.56;0.64;0.53;-3.13
8100;45.01;0.56;0.65;0.52;-3.69
9000;45.01;0.56;0.65;0.52;-4.25
9900;45.01;0.56;0.65;0.51;-4.81
10800;45.01;0.56;0.65;0.51;-5.37
11700;45.01;0.56;0.65;0.51;-5.68
12600;45.01;0.56;0.65;0.51;-6.00
13500;45.01;0.56;0.65;0.51;-6.31
14400;45.01;0.56;0.65;0.51;-6.63
15300;45.08;0.55;0.64;0.49;-7.75
16200;45.15;0.55;0.64;0.48;-8.87
17100;45.22;0.54;0.63;0.46;-10.00
18000;45.29;0.54;0.63;0.44;-11.12
18900;46.77;0.52;0.61;0.43;-12.93
19800;48.24;0.51;0.60;0.42;-14.74
20700;49.72;0.50;0.59;0.41;-16.55
21600;51.20;0.48;0.57;0.39;-18.37
22500;51.57;0.47;0.56;0.39;-17.75
23400;51.93;0.45;0.54;0.40;-17.14
24300;52.30;0.44;0.53;0.40;-16.52
25200;52.66;0.42;0.51;0.40;-15.91
26100;52.44;0.41;0.50;0.40;-14.66
27000;52.22;0.40;0.49;0.39;-13.41
27900;52.00;0.39;0.48;0.39;-12.17
28800;51.78;0.38;0.47;0.38;-10.92
29700;51.64;0.37;0.46;0.39;-9.34
30600;51.49;0.36;0.45;0.40;-7.76
31500;51.34;0.36;0.45;0.41;-6.18
32400;51.20;0.35;0.44;0.41;-4.60
33300;50.03;0.34;0.44;0.41;-3.81
34200;48.86;0.34;0.43;0.41;-3.02
